DEPARTAMENTO,PROVINCIA,DISTRITO,DISTRITO,PROVINCIA,distr_prov
AMAZONAS,BAGUA,ARAMANGO,,,0.03067484662576687
AMAZONAS,BAGUA,BAGUA,,,0.18404907975460122
AMAZONAS,BAGUA,COPALLIN,,,0.012269938650306749
AMAZONAS,BAGUA,IMAZA,,,0.0736196319018405
AMAZONAS,BAGUA,LA PECA,,,0.03374233128834356
AMAZONAS,BONGARA,CHURUJA,,,0.006134969325153374
AMAZONAS,BONGARA,JAZAN,,,0.027607361963190184
AMAZONAS,BONGARA,JUMBILLA,,,0.003067484662576687
AMAZONAS,BONGARA,SAN CARLOS,,,0.003067484662576687
AMAZONAS,BONGARA,VALERA,,,0.003067484662576687
AMAZONAS,BONGARA,YAMBRASBAMBA,,,0.003067484662576687
AMAZONAS,CHACHAPOYAS,BALSAS,,,0.003067484662576687
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,,,0.0950920245398773
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,,,0.006134969325153374
AMAZONAS,CHACHAPOYAS,HUANCAS,,,0.003067484662576687
AMAZONAS,CHACHAPOYAS,LA JALCA,,,0.006134969325153374
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,,,0.003067484662576687
AMAZONAS,CHACHAPOYAS,MAGDALENA,,,0.003067484662576687
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,,,0.003067484662576687
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,,,0.003067484662576687
AMAZONAS,CHACHAPOYAS,SOLOCO,,,0.009202453987730062
AMAZONAS,CONDORCANQUI,EL CENEPA,,,0.009202453987730062
AMAZONAS,CONDORCANQUI,NIEVA,,,0.03987730061349693
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,,,0.018404907975460124
AMAZONAS,LUYA,CAMPOREDONDO,,,0.003067484662576687
AMAZONAS,LUYA,CAMPORREDONDO,,,0.003067484662576687
AMAZONAS,LUYA,COCABAMBA,,,0.003067484662576687
AMAZONAS,LUYA,LAMUD,,,0.012269938650306749
AMAZONAS,LUYA,LONYA CHICO,,,0.003067484662576687
AMAZONAS,LUYA,LUYA,,,0.015337423312883436
AMAZONAS,LUYA,PISUQUIA,,,0.006134969325153374
AMAZONAS,LUYA,SAN JERONIMO,,,0.003067484662576687
AMAZONAS,LUYA,SANTO TOMAS,,,0.003067484662576687
AMAZONAS,LUYA,TINGO,,,0.012269938650306749
AMAZONAS,LUYA,TRITA,,,0.003067484662576687
AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,,,0.003067484662576687
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,,,0.003067484662576687
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,,,0.003067484662576687
AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,,,0.003067484662576687
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,,,0.006134969325153374
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,,,0.006134969325153374
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,,,0.024539877300613498
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,,,0.24846625766871167
AMAZONAS,UTCUBAMBA,CAJARURO,,,0.03680981595092025
AMAZONAS,UTCUBAMBA,CUMBA,,,0.003067484662576687
AMAZONAS,UTCUBAMBA,EL MILAGRO,,,0.003067484662576687
AMAZONAS,UTCUBAMBA,JAMALCA,,,0.006134969325153374
AMAZONAS,UTCUBAMBA,YAMON,,,0.003067484662576687
ANCASH,AIJA,CORIS,,,0.0005324813631522897
ANCASH,AIJA,HUACLLAN,,,0.0005324813631522897
ANCASH,AIJA,LA MERCED,,,0.002129925452609159
ANCASH,ASUNCION,ACOCHACA,,,0.0005324813631522897
ANCASH,ASUNCION,CHACAS,,,0.0005324813631522897
ANCASH,BOLOGNESI,AQUIA,,,0.0005324813631522897
ANCASH,BOLOGNESI,CAJACAY,,,0.0005324813631522897
ANCASH,BOLOGNESI,CHIQUIAN,,,0.004259850905218318
ANCASH,BOLOGNESI,COLQUIOC,,,0.0010649627263045794
ANCASH,BOLOGNESI,HUALLANCA,,,0.0010649627263045794
ANCASH,BOLOGNESI,HUAYLLACAYAN,,,0.0005324813631522897
ANCASH,BOLOGNESI,LA PRIMAVERA,,,0.0010649627263045794
ANCASH,BOLOGNESI,MANGAS,,,0.0005324813631522897
ANCASH,BOLOGNESI,PACLLON,,,0.0005324813631522897
ANCASH,CARHUAZ,ACOPAMPA,,,0.0005324813631522897
ANCASH,CARHUAZ,ANTA,,,0.0010649627263045794
ANCASH,CARHUAZ,CARHUAZ,,,0.005857294994675187
ANCASH,CARHUAZ,MARCARA,,,0.0010649627263045794
ANCASH,CARHUAZ,SAN MIGUEL DE ACO,,,0.0005324813631522897
ANCASH,CARHUAZ,SHILLA,,,0.0005324813631522897
ANCASH,CARHUAZ,TINCO,,,0.002129925452609159
ANCASH,CARHUAZ,YUNGAR,,,0.0010649627263045794
ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,,,0.0005324813631522897
ANCASH,CASMA,BUENA VISTA ALTA,,,0.001597444089456869
ANCASH,CASMA,CASMA,,,0.03887113951011715
ANCASH,CASMA,COMANDANTE NOEL,,,0.001597444089456869
ANCASH,CASMA,YAUTAN,,,0.004259850905218318
ANCASH,CORONGO,CUSCA,,,0.0005324813631522897
ANCASH,CORONGO,YANAC,,,0.0005324813631522897
